GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C7B001,C7B002,C7B003,C7B004,C7C001,C7C002,C7C003,C7C004,C7C005,C7C006,C7C007,C7C008,C7C009,C7C010,C7C011,C7C012,C7C013,C7C014,C7C015,C7C016,C7C017,C7C018,C7C019,C7C020,C7D001,C7D002,C7D003,C7D004,C7E001,C7E002,C7E003,C7E004,C7E005,C7E006,C7E007,C7E008,C7E009,C7E010,C7E011,C7E012
"G440","1980","1","1","Rhode Island","44",,,,,,,,,,,,,,,,"RHODE ISLAND",56692,186159,577381,126922,51354,172920,548281,124137,2803,7333,15878,1570,274,790,1583,251,453,1134,3405,311,1808,3982,8234,653,2212,5036,11420,1039,1263,2931,7002,813,135,199,506,34,814,1906,3912,192
"G450","1980","3","5","South Carolina","45",,,,,,,,,,,,,,,,"SOUTH CAROLINA",238516,703450,1892526,287328,145614,435249,1356406,209955,90218,262283,519505,76617,555,1456,3510,236,1051,2665,7736,382,1078,1797,5369,138,3116,8473,19837,2000,1396,3372,9306,1050,1187,4091,6861,860,533,1010,3670,90
"G460","1980","2","4","South Dakota","46",,,,,,,,,,,,,,,,"SOUTH DAKOTA",58446,147160,394143,91019,51002,130390,369541,88736,283,381,1424,56,6610,15338,20880,2140,188,435,1069,46,363,616,1229,41,621,1205,2066,131,320,648,1096,94,15,4,21,0,286,553,949,37
"G470","1980","3","6","Tennessee","47",,,,,,,,,,,,,,,,"TENNESSEE",326088,972472,2774972,517588,256082,776396,2357812,445162,66967,189960,397738,71277,327,1023,3449,305,1301,2864,9216,582,1411,2229,6757,262,2945,7987,19955,3190,1765,5063,13177,2498,700,2142,3643,586,480,782,3135,106
"G480","1980","3","7","Texas","48",,,,,,,,,,,,,,,,"TEXAS",1169061,3137045,8551924,1371161,855726,2323947,6843489,1175279,160354,443585,963362,142874,3049,8915,26106,2005,12221,26331,78273,3488,137711,334267,640694,47515,352359,876494,1606622,150349,217233,545037,982816,103058,2288,4945,9331,1069,132838,326512,614475,46222
"G490","1980","4","8","Utah","49",,,,,,,,,,,,,,,,"UTAH",189962,350143,811712,109220,179243,328009,768545,106753,959,2165,5671,430,2703,6767,9339,447,1599,3324,9467,686,5458,9878,18690,904,9200,17819,31291,1992,5092,9744,16047,1205,58,72,103,12,4050,8003,15141,775
"G500","1980","1","1","Vermont","50",,,,,,,,,,,,,,,,"VERMONT",35998,109320,307972,58166,35541,108134,305090,57971,94,276,712,53,80,260,606,38,122,370,797,66,161,280,767,38,256,728,2048,272,222,640,1749,254,3,7,23,2,31,81,276,16
"G510","1980","3","5","Virginia","51",,,,,,,,,,,,,,,,"VIRGINIA",360686,1113648,3367180,505304,268499,838546,2707023,415730,81572,249949,590561,86586,632,1918,6468,436,6009,16032,42225,1943,3974,7203,20903,609,7442,18389,50383,3654,4554,11647,31513,2631,966,2910,5987,639,1922,3832,12883,384
"G530","1980","4","9","Washington","53",,,,,,,,,,,,,,,,"WASHINGTON",306123,833237,2561234,431562,268633,745392,2348712,416433,10153,24964,65479,4978,6344,17608,34208,2644,8099,21677,66737,6024,12894,23596,46098,1483,16729,33694,66136,3457,7159,15292,28828,2013,222,372,929,52,9348,18030,36379,1392
"G540","1980","3","5","West Virginia","54",,,,,,,,,,,,,,,,"WEST VIRGINIA",145583,414053,1152140,237868,139351,396972,1110949,227479,5155,14906,35150,9840,114,320,1029,147,505,1225,3243,221,458,630,1769,181,1082,3006,7216,1403,938,2662,6245,1309,34,113,259,42,110,231,712,52
"G550","1980","2","3","Wisconsin","55",,,,,,,,,,,,,,,,"WISCONSIN",346940,1010880,2783750,564197,316240,932452,2640049,554294,20409,55441,99820,6922,3363,9318,15345,1473,1753,4146,11522,743,5175,9523,17014,765,9109,18412,33192,2259,5287,10995,19330,1747,227,464,728,51,3595,6953,13134,461
"G560","1980","4","8","Wyoming","56",,,,,,,,,,,,,,,,"WYOMING",44845,100708,286829,37175,41934,94656,273523,36375,360,750,2091,163,885,2096,3893,220,170,389,1329,81,1496,2817,5993,336,3370,6936,13282,911,1993,4263,7694,603,21,30,26,3,1356,2643,5562,305
